iteration,output_W,heat_W,assembly_heat_W,field_residual,heat_residual,temperature_change_K,displacement_change_m,output_relative_change,eigen_residual,disk_peak_temperature_K,plate_peak_temperature_K,optical_cycles
1,0.7962113321988079,0.6542830445005097,0.6542830445005097,0.1660917871063721,,,,,2.688858992123469e-10,302.1843248719809,293.6618990105644,322
2,0.767863115220829,0.666035411684817,0.661334464811094,0.04981116155936261,0.020593590923385856,0.07747251862150506,6.542168338186938e-10,0.035603885339954726,1.2042589435686155e-10,302.25369559361934,293.6671794630059,192
3,0.7572351438627336,0.6702668741825913,0.6666939104339924,0.014062533571836584,0.015182830401422303,0.05918316144061464,4.985171153675467e-10,0.013840971323435503,6.742500848350677e-11,302.30793009529623,293.67120079135026,141
4,0.7540691870723853,0.6715407050434201,0.669601987199649,0.0035874344002535205,0.0081146193734636,0.03213404226715966,2.7066026987026927e-10,0.00418094275735591,4.973125146776673e-11,302.3376783131329,293.6733838948431,92
5,0.7532096814897421,0.6718916354189102,0.6709757761312056,0.0007799121582941921,0.0037925250328762522,0.015154403167514374,1.2781245614592233e-10,0.001139823238210028,2.042118862159822e-12,302.3517812842935,293.67441500149357,49
6,0.7530127884237446,0.6719956083578688,0.6715876754672037,0.00013430307218007304,0.0016523444970686686,0.006680613819696646,5.6737705361999015e-11,0.00026140538396696443,4.3947298946491115e-14,302.35802083419514,293.6748732824364,29
