case,pump_energy_uJ,pump_average_W,average_output_W,periodic_converged,period_pump_cycles,cycles_simulated,radial_points,z_slices,absorbed_pump_W
pump100,99.99999999999999,0.9999999999999999,8.823592493420797e-10,True,1,218,36,4,0.2695553471492128
pump300,300.0,2.9999999999999996,8.78359640003279e-09,True,1,213,36,4,0.6883081495869646
pump600,600.0,5.999999999999999,0.2425014593898803,True,4,296,36,4,1.293999556317454
pump1000,1000.0,10.0,0.7369932286086508,True,2,250,36,4,2.123490036915095
refined1000,1000.0,10.0,0.7370208001714776,True,2,150,48,8,2.1234421010817206
competing_modes,1000.0,10.0,0.7369848514670413,True,2,241,36,4,2.1234974151247585
vortex_constrained,1000.0,10.0,0.37361755578980876,False,,360,36,4,1.877765225691928
