iteration,output_W,heat_W,assembly_heat_W,field_residual,subspace_residual,heat_residual,temperature_change_K,displacement_change_m,output_relative_change,loss_residual,eigen_residual,eigen_converged,eigen_operator_calls,field_rate_log_gain_mismatch,projection_error,optical_cycles,optical_period_cycles,disk_peak_temperature_K,plate_peak_temperature_K,thermal_balance_error_W,mechanical_residual,local_energy_error
1,0.796211334196734,0.6542830440421178,0.6542830440421179,0.1660917886597291,0.16551806173138164,,,,,1.1785118367302339e-10,2.6888624852000073e-10,True,189,0.00020061997259083857,0.00015587608037814782,322,1,302.1843248687165,293.66189901022454,5.995204332975845e-14,4.356438619859457e-15,2.1704774545163097e-06
2,0.7678631072436375,0.6660354113325144,0.6613344644163559,0.04981116101237488,0.049795709984764465,0.020593591244499342,0.07747251803681365,6.542168349107707e-10,0.03560389777884269,5.911047692985782e-11,1.2042572924526864e-10,True,189,0.000319721332007257,1.168813185414841e-05,192,1,302.2536955873729,293.6671794626883,6.350475700855895e-14,4.4473472459820976e-15,7.505889476296854e-06
3,0.7572351328345687,0.6702667756420424,0.6666938511517677,0.01406253440227745,0.014062186781220572,0.015182719850153025,0.0591825099618859,4.985116241592125e-10,0.0138409754405568,2.0609718792696796e-11,6.742501587293287e-11,True,189,0.0003604521069589628,5.779974189890069e-05,141,1,302.3079294852543,293.67120074631623,5.162537064506978e-14,4.126361153271937e-15,7.565425042565154e-06
4,0.7540691522503193,0.6715407046590016,0.6696019632561081,0.003587433496461181,0.003587427725804858,0.008114687527017555,0.0321344298955637,2.7066355253283765e-10,0.00418097424032357,6.811166214371056e-12,4.973114732387908e-11,True,188,0.00037130292181001504,7.15940288653627e-05,92,1,302.3376780559084,293.6733838765711,6.372680161348399e-14,4.1507024012112294e-15,7.548804559280486e-06
5,0.7532096416437435,0.6718917133141025,0.6709758132909048,0.0007799094427766735,0.000779909385052606,0.003792640826608602,0.015155076151813773,1.2781814346917116e-10,0.001139829953275335,2.2686019729434292e-12,2.042139215382198e-12,True,250,0.0003740351802491099,7.59520374723488e-05,49,1,302.3517816471724,293.6744150295646,6.050715484207103e-14,3.787078718699915e-15,7.542369094667122e-06
6,0.753012799716634,0.6719956086959558,0.6715876905339355,0.0001343047692920092,0.0001343047854115765,0.00165230158746093,0.006680373943595441,5.67356627756898e-11,0.0002613375031682761,7.717680661212256e-13,4.391428871708251e-14,True,248,0.0003746344619074576,7.739657866123739e-05,29,1,302.3580209840307,293.67487329382976,6.0285110237146e-14,4.2404678436643485e-15,7.541183944787762e-06
