case,radial_cells,depth_cells,heat_W,output_W,peak_cell_temperature_K,single_pass_focal_length_m,feedback_converged,energy_ledger_L1_relative_error
ref_32x4,32,4,0.6387391394437975,0.8260146287074623,301.75049707319704,5.975282549922984,True,3.603771835118295e-07
ref_64x12,64,12,0.6351561583542523,0.8325606367847918,301.76475386819425,6.033257829803479,True,3.7534084439730818e-06
ref_96x16,96,16,0.6344925208446394,0.833765958961626,301.76213660998206,6.034775129751685,True,1.8996780505696688e-06
