case,nodes,tetrahedra,disk_max_K,disk_peak_von_mises_MPa,front_surface_pv_nm,mean_roundtrip_opd_pv_nm,weighted_wavefront_rms_nm,cross_polarized_fraction
archived_heat,3210,14592,302.13896510490423,9.280282027938407,25.88051109015898,155.6082843299687,23.31930763814431,1.3841658910529358e-05
refined,9422,46656,302.13896510490423,9.14850454416879,28.511988935634758,158.32964959805335,23.26848526431044,1.0981243782600235e-05
