case,pump_average_W,output_average_W,pump_absorbed_W,peak_output_W,pump_periods_per_cycle,converged
case_1000uJ_l0,10.0,0.8075993737145433,2.1768260887956745,38.47951436135773,1,True
case_1000uJ_l1_constrained,10.0,0.5086597447222094,1.9587180862067397,36.114206441062656,2,True
case_100uJ_l0,0.9999999999999999,7.033106597814937e-10,0.26499864749836627,7.191773752833718e-10,1,True
case_300uJ_l0,2.9999999999999996,3.8509548538659367e-08,0.6765863349951208,7.765682734617318e-08,1,True
case_600uJ_l0,5.999999999999999,0.3083995799763933,1.3208586093571504,25.135827734398504,2,True
refined_1000uJ_l0,10.0,0.8077596502642429,2.1766487108749306,38.48094380137097,1,True
